id,lat,lng,category,source
potential-map2-0379,50.39315,-4.10211,undifferentiated,1940s-map
potential-map2-0380,50.39297,-4.17460,undifferentiated,1940s-map
potential-map2-0381,50.39297,-4.16983,undifferentiated,1940s-map
potential-map2-0382,50.39310,-4.10457,undifferentiated,1940s-map
potential-map2-0383,50.39315,-4.08491,undifferentiated,1940s-map
potential-map2-0384,50.39284,-4.17886,undifferentiated,1940s-map
potential-map2-0385,50.39262,-4.16730,undifferentiated,1940s-map
potential-map2-0386,50.39231,-4.16581,undifferentiated,1940s-map
potential-map2-0387,50.39266,-4.16656,undifferentiated,1940s-map
potential-map2-0388,50.39243,-4.16639,undifferentiated,1940s-map
potential-map2-0389,50.39266,-4.16581,undifferentiated,1940s-map
potential-map2-0390,50.39280,-4.16688,undifferentiated,1940s-map
potential-map2-0391,50.39270,-4.17665,undifferentiated,1940s-map
potential-map2-0392,50.39273,-4.13408,undifferentiated,1940s-map
potential-map2-0393,50.39286,-4.08673,undifferentiated,1940s-map
potential-map2-0394,50.39255,-4.18534,undifferentiated,1940s-map
potential-map2-0395,50.39260,-4.18350,undifferentiated,1940s-map
potential-map2-0396,50.39249,-4.18321,undifferentiated,1940s-map
potential-map2-0397,50.39258,-4.16962,undifferentiated,1940s-map
potential-map2-0398,50.39255,-4.15081,undifferentiated,1940s-map
potential-map2-0399,50.39263,-4.12525,undifferentiated,1940s-map
potential-map2-0400,50.39261,-4.11193,undifferentiated,1940s-map
potential-map2-0401,50.39231,-4.18439,undifferentiated,1940s-map
potential-map2-0402,50.39217,-4.17342,undifferentiated,1940s-map
potential-map2-0403,50.39225,-4.17239,undifferentiated,1940s-map
potential-map2-0404,50.39229,-4.17418,undifferentiated,1940s-map
potential-map2-0405,50.39205,-4.17391,undifferentiated,1940s-map
potential-map2-0406,50.39221,-4.17292,undifferentiated,1940s-map
potential-map2-0407,50.39234,-4.17135,undifferentiated,1940s-map
potential-map2-0408,50.39239,-4.15339,undifferentiated,1940s-map
potential-map2-0409,50.39225,-4.17039,undifferentiated,1940s-map
potential-map2-0410,50.39215,-4.18626,undifferentiated,1940s-map
potential-map2-0411,50.39218,-4.17621,undifferentiated,1940s-map
potential-map2-0412,50.39216,-4.16033,undifferentiated,1940s-map
potential-map2-0413,50.39224,-4.13258,undifferentiated,1940s-map
potential-map2-0414,50.39194,-4.16879,undifferentiated,1940s-map
potential-map2-0415,50.39177,-4.16956,undifferentiated,1940s-map
potential-map2-0416,50.39205,-4.16934,undifferentiated,1940s-map
potential-map2-0417,50.39149,-4.16911,undifferentiated,1940s-map
